pmutype, desID, event0, event1, , start, duration, end, layerID, desType,     srcAddr, dstAddr, trans_fmt, transpose_md, cmd_id, wait_id_tpu, dst_h_stride, dst_c_stride_low,     dst_n_stride, src_h_stride, src_c_stride_low, src_n_stride, dst_c, src_c, dst_w, dst_h, src_w, src_h, src_n
1, 1, 210, 3360, 1, 1571, 5524, 7095, 2, TDMA Tensor Load, 0x4294967296, 0x1184,         0, 0, 1, 0, 224, 17920, 17920, 224, 50176, 150528, 3, 3, 224, 80, 224, 80, 1
1, 2, 47, 699, 1, 7096, 1546, 8642, 3, TDMA Tensor Load Compression, 0x4320769376, 0x0,         0, 0, 2, 0, 4, 196, 392, 4, 196, 12544, 64, 64, 4, 49, 4, 49, 1
1, 3, 4, 36, 1, 8643, 230, 8873, 4, TDMA Tensor Load, 0x4320768800, 0x400,         0, 0, 3, 0, 9, 9, 18, 9, 9, 576, 64, 64, 9, 1, 9, 1, 1
4, 1, 0, 0, 3, 8877, 75140, 84017, 5, TIU PerChannel Convolution
1, 4, 64, 968, 1, 84019, 2030, 86049, 7, TDMA Tensor Load Compression, 0x4320752416, 0x432,         0, 0, 4, 1, 64, 64, 512, 64, 64, 16384, 256, 256, 64, 1, 64, 1, 1
1, 5, 11, 144, 1, 86050, 513, 86563, 8, TDMA Tensor Load, 0x4320750112, 0x944,         0, 0, 5, 1, 9, 9, 72, 9, 9, 2304, 256, 256, 9, 1, 9, 1, 1
4, 2, 0, 0, 3, 84018, 2780, 86798, 6, TIU Max Pooling
1, 6, 17, 232, 1, 86800, 563, 87363, 10, TDMA Tensor Load Compression, 0x4320746016, 0x1024,         0, 0, 6, 2, 64, 64, 128, 64, 64, 4096, 64, 64, 64, 1, 64, 1, 1
1, 7, 4, 36, 1, 87364, 230, 87594, 11, TDMA Tensor Load, 0x4320745440, 0x1152,         0, 0, 7, 2, 9, 9, 18, 9, 9, 576, 64, 64, 9, 1, 9, 1, 1
4, 3, 0, 0, 3, 86799, 17755, 104554, 9, TIU PerChannel Convolution
2, 8, 43, 625, 2, 104556, 1482, 106038, 13, TDMA Tensor Store Compression, 0x3328, 0x4294967296,         0, 0, 8, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 9, 43, 609, 2, 106039, 1279, 107318, 13, TDMA Tensor Store Compression, 0x3384, 0x4294982544,         0, 0, 9, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 10, 41, 601, 2, 107319, 1167, 108486, 13, TDMA Tensor Store Compression, 0x3440, 0x4294997792,         0, 0, 10, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
4, 4, 0, 0, 3, 104555, 4489, 109044, 12, TIU PerChannel Convolution
2, 11, 42, 603, 2, 108487, 1312, 109799, 13, TDMA Tensor Store Compression, 0x3496, 0x4295013040,         0, 0, 11, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 12, 43, 608, 2, 109800, 1132, 110932, 13, TDMA Tensor Store Compression, 0x3552, 0x4295028288,         0, 0, 12, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 13, 44, 620, 2, 110933, 1126, 112059, 13, TDMA Tensor Store Compression, 0x3608, 0x4295043536,         0, 0, 13, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 14, 43, 622, 2, 112060, 1172, 113232, 13, TDMA Tensor Store Compression, 0x3664, 0x4295058784,         0, 0, 14, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 15, 43, 618, 2, 113233, 1126, 114359, 13, TDMA Tensor Store Compression, 0x3720, 0x4295074032,         0, 0, 15, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 16, 43, 615, 2, 114360, 1248, 115608, 13, TDMA Tensor Store Compression, 0x3776, 0x4295089280,         0, 0, 16, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 17, 42, 612, 2, 115609, 1120, 116729, 13, TDMA Tensor Store Compression, 0x3832, 0x4295104528,         0, 0, 17, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 18, 42, 615, 2, 116730, 1272, 118002, 13, TDMA Tensor Store Compression, 0x3888, 0x4295119776,         0, 0, 18, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 19, 43, 613, 2, 118003, 1122, 119125, 13, TDMA Tensor Store Compression, 0x3944, 0x4295135024,         0, 0, 19, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 20, 43, 610, 2, 119126, 1259, 120385, 13, TDMA Tensor Store Compression, 0x4000, 0x4295150272,         0, 0, 20, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 21, 42, 617, 2, 120386, 1126, 121512, 13, TDMA Tensor Store Compression, 0x4056, 0x4295165520,         0, 0, 21, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 22, 43, 620, 2, 121513, 1308, 122821, 13, TDMA Tensor Store Compression, 0x4112, 0x4295180768,         0, 0, 22, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 23, 42, 620, 2, 122822, 1129, 123951, 13, TDMA Tensor Store Compression, 0x4168, 0x4295196016,         0, 0, 23, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 24, 42, 615, 2, 123952, 1282, 125234, 13, TDMA Tensor Store Compression, 0x4224, 0x4295211264,         0, 0, 24, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 25, 42, 605, 2, 125235, 1125, 126360, 13, TDMA Tensor Store Compression, 0x4280, 0x4295226512,         0, 0, 25, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 26, 41, 592, 2, 126361, 1130, 127491, 13, TDMA Tensor Store Compression, 0x4336, 0x4295241760,         0, 0, 26, 3, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
