# genetated time: 2021-12-16 14:26:00.917637
# sample number: 1000
###
# op_name    threshold    min    max
input 255.4990234 0.0000000 255.0000000
467_Slice 255.0000000 0.0000000 255.0000000
472_Slice 255.0000000 0.0000000 255.0000000
477_Slice 255.0000000 0.0000000 255.0000000
482_Slice 255.0000000 0.0000000 255.0000000
487_Slice 255.0000000 0.0000000 255.0000000
492_Slice 255.0000000 0.0000000 255.0000000
497_Slice 255.0000000 0.0000000 255.0000000
502_Slice 255.0000000 0.0000000 255.0000000
503_Concat 255.0000000 0.0000000 255.0000000
877_Conv 33.0317612 -60.4018822 70.4591599
507_Mul 37.4405670 -0.2784646 70.4591599
880_Conv 38.4070129 -117.0356522 98.9441452
511_Mul 36.3332710 -0.2784646 98.9441452
883_Conv 31.9949493 -77.2684631 9.5362778
515_Mul 2.9799626 -0.2784646 9.5355892
886_Conv 31.3249817 -117.9149475 25.0640450
519_Mul 6.2782736 -0.2784646 25.0640450
889_Conv 13.8804235 -27.7540703 16.1935444
523_Mul 7.2116270 -0.2784646 16.1935425
892_Conv 13.0928555 -24.6820889 26.1729240
527_Mul 8.9980412 -0.2784646 26.1729240
528_Add 6.5492878 -0.5569291 26.1715679
529_Concat 12.2709188 -0.5569291 26.1715679
895_Conv 12.8355694 -29.3312817 20.5461273
533_Mul 10.2931671 -0.2784646 20.5461273
898_Conv 9.1489344 -18.2889347 12.6291285
537_Mul 4.7405372 -0.2784646 12.6290874
901_Conv 4.4443312 -6.4613247 3.8199863
541_Mul 2.1036627 -0.2784646 3.7380188
904_Conv 7.4856572 -14.9420738 10.8985424
545_Mul 5.4598341 -0.2784646 10.8983412
907_Conv 6.2516627 -12.4911156 11.9699535
549_Mul 5.2393804 -0.2784646 11.9698782
910_Conv 5.2511687 -10.4818249 5.2741523
553_Mul 2.6287713 -0.2784646 5.2472739
554_Add 2.5607352 -0.5569291 5.1164689
913_Conv 6.1655974 -12.3191528 9.7856789
558_Mul 3.2490675 -0.2784646 9.7851286
916_Conv 6.7039976 -13.3818073 11.0322857
562_Mul 4.1390610 -0.2784646 11.0321064
563_Add 5.4075999 -0.8353894 10.8046379
919_Conv 7.0259638 -18.7176056 12.7245541
567_Mul 3.1873543 -0.2784646 12.7245159
922_Conv 6.1937928 -16.5006504 12.9661694
571_Mul 6.4894066 -0.2784646 12.9661388
572_Add 6.4469390 -1.1137745 12.8686943
573_Concat 6.0329366 -1.1137745 12.8686943
925_Conv 5.9617453 -11.9002028 10.6529188
577_Mul 2.9964285 -0.2784646 10.6526670
928_Conv 6.7607384 -13.4662008 13.4950676
581_Mul 3.5847316 -0.2784646 13.4950485
931_Conv 3.7990160 -10.1208162 6.8541603
585_Mul 1.7150840 -0.2784646 6.8469367
934_Conv 8.9876633 -17.9665489 14.5169125
589_Mul 4.5370870 -0.2784646 14.5169058
937_Conv 6.4902706 -15.9320536 17.2904873
593_Mul 5.1334267 -0.2784646 17.2904873
940_Conv 4.5311260 -7.2427216 6.3675170
597_Mul 2.7823739 -0.2784646 6.3566065
598_Add 3.7635458 -0.5569291 9.2618504
943_Conv 6.9922590 -14.1093359 18.6278152
602_Mul 4.6660671 -0.2784646 18.6278152
946_Conv 5.7279272 -10.0701313 10.1780090
606_Mul 3.8203390 -0.2784646 10.1776218
607_Add 4.7392883 -0.8353909 12.6257610
949_Conv 7.1635027 -11.2359333 14.3130140
611_Mul 5.3726239 -0.2784646 14.3130054
952_Conv 8.0204201 -16.0369244 15.8901405
615_Mul 7.2010980 -0.2784646 15.8901386
616_Add 4.6029510 -1.1138170 18.3758430
617_Concat 7.1785016 -1.1138170 18.3758430
955_Conv 8.4515667 -14.4819832 16.8701191
621_Mul 5.2744875 -0.2784646 16.8701191
958_Conv 6.5673680 -13.1090822 11.7332764
625_Mul 3.5750632 -0.2784646 11.7331829
961_Conv 4.1195374 -7.3714952 8.2229824
629_Mul 3.9824243 -0.2784646 8.2207756
630_MaxPool 5.9101253 -0.2776467 8.2207756
631_MaxPool 6.1716084 -0.2619656 8.2207756
632_MaxPool 7.0651603 -0.2121163 8.2207756
633_Concat 8.2207756 -0.2784646 8.2207756
964_Conv 4.8557482 -19.3850574 12.7578459
637_Mul 3.5890102 -0.2784646 12.7578096
967_Conv 5.9986691 -10.4841766 11.9739056
641_Mul 3.9758072 -0.2784646 11.9738302
970_Conv 7.7416396 -15.4681587 12.8849163
645_Mul 3.6247585 -0.2784646 12.8848839
973_Conv 7.0053315 -11.0854664 13.9969807
649_Mul 5.2539945 -0.2784646 13.9969692
976_Conv 7.8784847 -11.4159307 15.7531223
653_Mul 3.9459872 -0.2784646 15.7531204
654_Concat 5.1696239 -0.2784646 15.7531204
979_Conv 6.2767467 -12.5289745 11.4728088
658_Mul 3.5860910 -0.2784646 11.4726896
982_Conv 6.2703724 -9.9463854 10.0227985
662_Mul 3.7602189 -0.2784646 10.0223541
667_Resize 3.7620568 -0.2784646 10.0223541
668_Concat 5.2744875 -0.2784646 16.8701191
985_Conv 4.8844156 -9.7497511 9.6937017
672_Mul 3.2564759 -0.2784646 9.6931047
988_Conv 4.5598016 -8.6342745 9.1017914
676_Mul 2.9865570 -0.2784646 9.1007767
991_Conv 6.4339542 -10.7839136 12.8553419
680_Mul 3.9671888 -0.2784646 12.8553085
994_Conv 6.1909947 -9.5762405 12.3698978
684_Mul 3.0939717 -0.2784646 12.3698444
685_Concat 3.5757673 -0.2784646 12.3698444
997_Conv 6.3301024 -11.5754681 12.6354780
689_Mul 4.7429204 -0.2784646 12.6354370
1000_Conv 5.0456233 -9.5294590 10.0813923
693_Mul 3.7840595 -0.2784646 10.0809708
698_Resize 2.5251746 -0.2784646 10.0809708
699_Concat 2.9964285 -0.2784646 10.6526670
1003_Conv 5.5102153 -11.0197582 6.2962852
703_Mul 2.5537837 -0.2784646 6.2847018
1006_Conv 3.9666679 -7.9178410 6.7163248
707_Mul 3.2493844 -0.2784646 6.7082019
1009_Conv 5.2306209 -8.1043043 10.4408092
711_Mul 2.9772658 -0.2784646 10.4405041
1012_Conv 5.7920966 -9.7765226 11.5785370
715_Mul 2.8974366 -0.2784646 11.5784283
716_Concat 3.2568305 -0.2784646 11.5784283
1015_Conv 4.5422640 -10.4927616 12.1008759
720_Mul 2.9780240 -0.2784646 12.1008081
1018_Conv 6.5134468 -12.3512297 13.0205326
724_Mul 3.2555232 -0.2784646 13.0205030
725_Concat 3.6629107 -0.2784646 13.0205030
1021_Conv 5.7520657 -12.2644405 15.3238630
729_Mul 3.8384619 -0.2784646 15.3238592
1024_Conv 4.0174470 -16.0384026 11.0371895
733_Mul 4.1429253 -0.2784646 11.0370121
1027_Conv 5.3139491 -12.7623672 21.2350388
737_Mul 5.3191485 -0.2784646 21.2350388
1030_Conv 8.2113695 -14.0227184 21.8862934
741_Mul 5.1302261 -0.2784646 21.8862934
742_Concat 5.4822807 -0.2784646 21.8862934
1033_Conv 7.1623726 -38.1806679 18.0649929
746_Mul 4.5167994 -0.2784646 18.0649929
1036_Conv 6.2412891 -10.3993969 16.6271858
750_Mul 4.1608591 -0.2784646 16.6271839
751_Concat 4.1649308 -0.2784646 16.6271839
1039_Conv 6.4666891 -11.0138626 12.9081173
755_Mul 4.8452635 -0.2784646 12.9080849
1042_Conv 6.0045733 -12.0127478 15.9965582
759_Mul 4.0069652 -0.2784646 15.9965563
1045_Conv 7.8259864 -12.9634819 15.6214027
763_Mul 5.1260853 -0.2784646 15.6214008
1048_Conv 7.6266322 -15.2383690 14.6685457
767_Mul 3.6743112 -0.2784646 14.6685390
768_Concat 4.0001159 -0.2784646 15.9965563
1051_Conv 6.5368695 -17.4146290 12.4587154
772_Mul 4.4774699 -0.2784646 12.4586668
1054_Conv 4.6564217 -18.5893078 12.6676245
776_Mul 3.2660613 -0.2784646 12.6675854
1057_Conv 5.4117675 -21.6047897 18.6402855
780_Mul 4.6691909 -0.2784646 18.6402855
1060_Conv 17.2550621 -36.4451714 45.9910278
784_Mul 18.6884174 -0.2784646 45.9910278
785_Conv 21.6427345 -49.4570312 4.2312541
1063_Conv 12.5743637 -33.5152626 21.5847092
789_Mul 5.4014521 -0.2784646 21.5847092
1066_Conv 8.2563992 -32.9610939 17.6896381
793_Mul 6.6400986 -0.2784646 17.6896381
794_Conv 3.6896827 -2.4492776 3.9028974
795_Conv 25.8360596 -31.1944523 7.8630080
796_Sigmoid 0.9996154 0.0000000 0.9996154
797_Sigmoid 0.9856741 0.0000000 0.9856741
798_Concat 1.9552675 -2.4492776 3.9028974
1069_Conv 7.4106159 -19.7423439 14.0636015
802_Mul 5.2790012 -0.2784646 14.0635900
1072_Conv 7.5132427 -20.0157490 14.3527966
806_Mul 3.5890732 -0.2784646 14.3527880
1075_Conv 12.0161343 -32.0009155 47.9706612
810_Mul 12.0161343 -0.2784646 47.9706612
811_Conv 21.2284966 -42.3740692 4.6433020
1078_Conv 11.5105295 -22.9760952 15.4702320
815_Mul 7.2534404 -0.2784646 15.4702282
1081_Conv 10.1653442 -27.0811138 15.8356285
819_Mul 7.9255533 -0.2784646 15.8356266
820_Conv 3.9939842 -2.7045703 3.9939842
821_Conv 23.5451088 -27.3946018 7.6686535
822_Sigmoid 0.9995329 0.0000000 0.9995329
823_Sigmoid 0.9904659 0.0000000 0.9904659
824_Concat 2.0009000 -2.7045703 3.9939842
1084_Conv 8.6436863 -17.2831516 14.7675257
828_Mul 6.0000372 -0.2784646 14.7675200
1087_Conv 9.7157469 -19.3935413 12.9804945
832_Mul 6.5029335 -0.2784646 12.9804649
1090_Conv 22.3883781 -28.2848072 44.7753906
836_Mul 19.5988026 -0.2784646 44.7753906
837_Conv 26.2376518 -38.1452217 5.0131249
1093_Conv 10.9836311 -14.6162386 13.3066397
841_Mul 6.6663289 -0.2784646 13.3066177
1096_Conv 11.0485201 -22.0538826 11.2310886
845_Mul 5.6264591 -0.2784646 11.2309399
846_Conv 3.1419828 -2.2651541 3.4078364
847_Conv 17.0661983 -17.0656776 7.5289202
848_Sigmoid 0.9994630 0.0000000 0.9994630
849_Sigmoid 0.9933938 0.0000000 0.9933938
850_Concat 1.7072527 -2.2651541 3.4078364
858_Reshape 1.9552675 -2.4492776 3.9028974
